size,best,avg,worst
273,1789,1703,1505
155,904,839,742
588,4526,4326,3859
834,6916,6594,5898
879,7363,7005,6260
633,4903,4755,4251
452,3277,3150,2784
991,8441,8039,7244
786,6324,6132,5477
515,3802,3651,3308
230,1476,1390,1220
698,5512,5306,4751
661,5147,5008,4481
955,7871,7690,6936
815,6572,6378,5720
473,3451,3321,2960
858,6980,6806,6121
982,8111,7959,7150
621,4785,4640,4157
674,5270,5114,4561
785,6315,6132,5526
602,4605,4448,3971
308,2085,1974,1759
144,811,769,678
313,2140,2007,1784
795,6386,6199,5572
195,1213,1133,997
138,767,737,629
101,528,482,426
809,6529,6341,5681
665,5178,5019,4499
344,2386,2268,2001
307,2074,1982,1748
252,1639,1553,1354
520,3849,3706,3339
185,1130,1064,923
227,1455,1361,1199
943,7751,7593,6841
176,1057,993,863
355,2494,2359,2092
800,6442,6268,5597
376,2660,2531,2220
53,230,221,182
460,3321,3198,2885
673,5261,5098,4554
838,6786,6623,5924
275,1855,1729,1520
531,3942,3805,3430
191,1180,1101,969
866,7041,6894,6190
204,1273,1208,1041
319,2188,2054,1825
811,6549,6358,5708
825,6657,6490,5869
433,3131,2992,2658
466,3381,3253,2928
619,4787,4601,4150
598,4571,4425,3973
574,4358,4189,3765
691,5442,5277,4712
750,5974,5792,5203
581,4417,4276,3827
377,2675,2552,2232
56,246,234,193
175,1054,991,868
868,7065,6898,6200
211,1335,1246,1099
372,2619,2502,2212
182,1105,1041,905
700,5614,5334,4792
697,5503,5342,4723
952,7837,7672,6875
76,362,347,286
92,463,424,380
755,6024,5839,5244
719,5710,5520,4929
901,7361,7184,6460
1000,8542,8095,7305
592,4496,4376,3884
434,3139,2989,2690
238,1542,1444,1255
138,767,737,629
723,5745,5562,4963
48,203,190,153
306,2067,1979,1738
156,904,853,730
484,3536,3417,3028
895,7327,7127,6431
96,492,460,396
400,2856,2726,2438
928,7605,7424,6711
188,1143,1082,948
951,7830,7644,6900
305,2061,1952,1734
214,1354,1273,1113
125,663,643,557
515,3802,3651,3308
739,5865,5702,5092
810,6539,6358,5670
667,5202,5063,4518
