size,best,avg,worst
754,753,141511,283881
509,508,66761,129286
338,337,28838,56953
790,789,155275,311655
476,475,59294,113050
496,495,62968,122760
974,973,233464,473851
976,975,234809,475800
126,125,4443,7875
742,741,136696,274911
653,652,104103,212878
801,800,158838,320400
407,406,43590,82621
771,770,147475,296835
637,636,99332,202566
249,248,15372,30876
578,577,83731,166753
879,878,191456,385881
936,935,215960,437580
996,995,246206,495510
239,238,14344,28441
308,307,24967,47278
437,436,50696,95266
513,512,67303,131328
478,477,59697,114003
118,117,3914,6903
155,154,6396,11935
604,603,90544,182106
923,922,209504,425503
194,193,9778,18721
333,332,28121,55278
677,676,111718,228826
673,672,110659,226128
641,640,100269,205120
809,808,162623,326836
492,491,62609,120786
479,478,60117,114481
154,153,6305,11781
467,466,56999,108811
575,574,82981,165025
866,865,185325,374545
119,118,4029,7021
718,717,126583,257403
615,614,93313,188805
233,232,13537,27028
355,354,32312,62835
834,833,172668,347361
781,780,151400,304590
576,575,83127,165600
141,140,5299,9870
776,775,149436,300700
785,784,153290,307720
419,418,46032,87571
212,211,11665,22366
297,296,22822,43956
239,238,14344,28441
643,642,101262,206403
765,764,145076,292230
814,813,164980,330891
909,908,203428,412686
929,928,213838,431056
489,488,61818,119316
585,584,85740,170820
945,944,220853,446040
472,471,58050,111156
736,735,133588,270480
436,435,50399,94830
921,920,208677,423660
860,859,181593,369370
245,244,15020,29890
838,837,173893,350703
97,96,2655,4656
678,677,111838,229503
556,555,77654,154290
682,681,113573,232221
881,880,192486,387640
253,252,15859,31878
859,858,181270,368511
33,32,298,528
171,170,7644,14535
970,969,231668,469965
779,778,150208,303031
926,925,211781,428275
389,388,39129,75466
333,332,28121,55278
565,564,79889,159330
598,597,89578,178503
318,317,25896,50403
329,328,27426,53956
411,410,44237,84255
226,225,13058,25425
600,599,90103,179700
242,241,14666,29161
153,152,6286,11628
544,543,74298,147696
684,683,114242,233586
859,858,181270,368511
322,321,26574,51681
947,946,221455,447931
718,717,126583,257403
