+------------------------------------------------+
| Input Size | Best Case | Avg Case | Worst Case |
+------------------------------------------------+
|        189 |       685 |     1206 |        760 |
|        411 |      1714 |     3042 |       1884 |
|        608 |      2704 |     4837 |       2960 |
|        577 |      2562 |     4572 |       2761 |
|        466 |      2009 |     3527 |       2139 |
|        715 |      3250 |     5897 |       3591 |
|        459 |      1970 |     3464 |       2108 |
|         93 |       288 |      502 |        328 |
|         74 |       217 |      372 |        247 |
|        364 |      1480 |     2623 |       1648 |
|        841 |      3944 |     7090 |       4283 |
|        197 |       719 |     1253 |        798 |
|        799 |      3721 |     6694 |       4044 |
|        751 |      3464 |     6220 |       3773 |
|        303 |      1194 |     2121 |       1324 |
|        839 |      3934 |     7095 |       4271 |
|        126 |       435 |      725 |        445 |
|        651 |      2919 |     5265 |       3218 |
|        897 |      4291 |     7679 |       4552 |
|        360 |      1460 |     2602 |       1628 |
|        217 |       808 |     1429 |        889 |
|         91 |       279 |      479 |        321 |
|        943 |      4552 |     8121 |       4797 |
|        127 |       441 |      735 |        447 |
|        877 |      4154 |     7516 |       4469 |
|         96 |       304 |      515 |        336 |
|        176 |       624 |     1107 |        704 |
|        253 |      1002 |     1709 |       1019 |
|        818 |      3817 |     6885 |       4157 |
|        772 |      3596 |     6446 |       3872 |
|         72 |       212 |      364 |        236 |
|        977 |      4773 |     8472 |       4950 |
|        525 |      2339 |     4067 |       2412 |
|        993 |      4885 |     8603 |       5014 |
|        897 |      4291 |     7679 |       4552 |
|        333 |      1328 |     2359 |       1490 |
|        707 |      3211 |     5826 |       3542 |
|        698 |      3159 |     5707 |       3495 |
|        396 |      1644 |     2916 |       1804 |
|        751 |      3464 |     6220 |       3773 |
|        404 |      1680 |     2983 |       1848 |
|        579 |      2568 |     4596 |       2777 |
|        918 |      4399 |     7873 |       4675 |
|        202 |       739 |     1296 |        823 |
|        672 |      3024 |     5456 |       3344 |
|        564 |      2496 |     4430 |       2684 |
|        383 |      1592 |     2802 |       1726 |
|        768 |      3584 |     6407 |       3840 |
|        214 |       793 |     1396 |        877 |
|        623 |      2777 |     5002 |       3052 |
|        128 |       448 |      738 |        448 |
|        401 |      1667 |     2969 |       1831 |
|         56 |       156 |      250 |        172 |
|         70 |       205 |      346 |        227 |
|        841 |      3944 |     7090 |       4283 |
|        903 |      4318 |     7735 |       4591 |
|        479 |      2088 |     3645 |       2190 |
|        359 |      1454 |     2590 |       1624 |
|        155 |       535 |      939 |        604 |
|        640 |      2880 |     5169 |       3136 |
|        474 |      2055 |     3610 |       2173 |
|        540 |      2396 |     4224 |       2520 |
|        959 |      4663 |     8273 |       4862 |
|        969 |      4721 |     8378 |       4914 |
|        532 |      2364 |     4140 |       2464 |
|        855 |      4021 |     7259 |       4360 |
|        645 |      2895 |     5225 |       3176 |
|        582 |      2579 |     4609 |       2799 |
|        552 |      2444 |     4325 |       2604 |
|        383 |      1592 |     2802 |       1726 |
|        332 |      1324 |     2360 |       1484 |
|        927 |      4456 |     7969 |       4717 |
|        933 |      4489 |     8009 |       4750 |
|        593 |      2627 |     4726 |       2872 |
|        471 |      2037 |     3584 |       2161 |
|        604 |      2680 |     4834 |       2940 |
|        156 |       540 |      942 |        608 |
|        197 |       719 |     1253 |        798 |
|        372 |      1524 |     2704 |       1684 |
|        683 |      3074 |     5577 |       3415 |
|        790 |      3673 |     6608 |       3993 |
|        813 |      3789 |     6837 |       4130 |
|        426 |      1789 |     3190 |       1959 |
|        816 |      3808 |     6873 |       4144 |
|        225 |       851 |     1474 |        918 |
|        267 |      1052 |     1823 |       1106 |
|         91 |       279 |      479 |        321 |
|        675 |      3035 |     5497 |       3366 |
|        596 |      2640 |     4756 |       2892 |
|        559 |      2474 |     4386 |       2651 |
|        314 |      1245 |     2200 |       1383 |
|        412 |      1720 |     3045 |       1888 |
|         99 |       312 |      539 |        352 |
|        272 |      1072 |     1865 |       1136 |
|        381 |      1578 |     2786 |       1720 |
|        601 |      2664 |     4792 |       2923 |
|        470 |      2031 |     3576 |       2157 |
|        996 |      4904 |     8655 |       5028 |
|        182 |       649 |     1134 |        733 |
|        364 |      1480 |     2623 |       1648 |
+------------------------------------------------+

