size,best,avg,worst
698,3495,5716,3159
172,688,1069,604
634,3111,5128,2839
367,1661,2659,1497
959,4862,8278,4663
553,2612,4327,2447
761,3817,6345,3530
492,2244,3762,2164
374,1693,2732,1535
366,1657,2665,1491
453,2078,3416,1940
745,3746,6172,3425
897,4552,7677,4291
652,3224,5275,2924
702,3513,5758,3185
442,2029,3322,1879
877,4469,7484,4154
946,4811,8136,4571
572,2732,4530,2536
141,530,841,483
959,4862,8278,4663
108,388,601,348
381,1720,2791,1578
175,701,1092,618
977,4950,8457,4773
688,3440,5608,3104
382,1723,2802,1585
101,361,556,319
896,4544,7663,4288
390,1769,2854,1619
473,2169,3584,2049
936,4764,8063,4508
532,2464,4146,2364
449,2055,3386,1923
645,3176,5209,2895
490,2237,3748,2151
344,1548,2456,1380
405,1854,2987,1684
325,1443,2314,1295
60,184,282,172
114,409,638,375
748,3760,6215,3444
775,3894,6447,3607
981,4969,8491,4798
399,1820,2936,1658
820,4168,6903,3828
423,1944,3145,1774
619,3031,4979,2754
765,3832,6378,3559
337,1511,2406,1347
730,3671,6037,3335
95,334,508,298
758,3805,6330,3509
453,2078,3416,1940
241,981,1612,932
735,3693,6072,3368
140,524,825,480
936,4764,8063,4508
178,715,1112,631
35,96,142,85
325,1443,2314,1295
964,4888,8319,4692
313,1378,2220,1240
200,812,1282,732
412,1888,3055,1720
928,4720,7985,4464
32,80,124,80
98,347,531,309
333,1490,2359,1328
327,1455,2316,1303
129,456,753,449
760,3812,6318,3524
75,252,380,220
874,4455,7449,4135
740,3720,6131,3396
787,3974,6603,3659
693,3470,5663,3129
505,2288,3885,2250
748,3760,6215,3444
801,4056,6712,3731
184,740,1163,660
477,2184,3644,2074
866,4413,7374,4089
913,4647,7837,4372
273,1144,1862,1074
449,2055,3386,1923
990,5003,8594,4863
383,1726,2800,1592
727,3656,5994,3317
167,664,1025,583
732,3680,6049,3348
395,1799,2910,1639
130,463,758,451
44,132,187,112
565,2691,4451,2500
855,4360,7262,4021
943,4797,8125,4552
567,2703,4467,2510
923,4700,7924,4429
618,3025,4964,2749
