size,best,avg,worst,randomized
520,18375,5404,134940,5104
623,28520,6819,193753,6092
452,13091,4298,101926,4116
632,29515,5931,199396,7190
579,23911,6413,167331,5432
878,41020,8515,385003,9266
390,9361,4152,75855,3416
572,23085,5463,163306,5841
488,15729,4471,118828,4854
113,1245,739,6328,728
50,298,254,1225,264
977,54076,10657,476776,10495
900,44008,9780,404550,10488
912,45470,10360,415416,10177
947,49896,10394,447931,10497
549,20937,5561,150426,5156
890,42347,9287,395605,9373
96,876,626,4560,674
163,2849,1150,13203,1131
629,29185,6115,197506,6145
106,1065,714,5565,699
634,29740,7243,200661,6200
961,51887,9788,461280,9826
394,9555,3965,77421,3275
363,12192,3147,65703,3127
798,32907,8202,318003,8634
888,42122,9657,393828,10319
668,34358,6320,222778,7205
690,37163,6913,237705,6496
876,40807,9950,383250,8980
206,3265,1578,21115,1529
843,37322,8563,354903,10124
905,44615,9676,409060,8842
657,32989,6256,215496,7557
999,57196,11943,498501,10946
293,7240,2420,42778,2343
940,48994,10094,441330,9774
354,11502,3298,62481,2913
593,25328,5597,175528,6167
595,25533,6851,176715,6426
760,47060,7431,288420,7656
962,52024,10032,462241,10835
73,672,399,2628,493
740,44160,8787,273430,8230
83,919,600,3403,479
374,13086,3181,69751,3444
985,55189,10855,484620,10716
637,30073,6198,202566,6182
208,3326,1565,21528,1665
630,29297,6701,198135,6203
955,50954,10869,455535,9419
904,44495,9721,408156,9762
260,5496,2383,33670,2236
218,3679,1716,23653,1608
968,52833,11252,468028,11328
287,6852,2279,41041,2253
699,38347,7157,243951,7131
48,273,218,1128,270
918,46212,10229,420903,9866
463,13847,4144,106953,4624
175,3338,1204,15225,1497
65,522,355,2080,342
90,1103,519,4005,583
732,43008,7151,267546,7538
653,32501,6897,212878,6433
271,6032,2086,36585,2209
905,44615,9676,409060,10767
462,13778,4854,106491,4801
556,21578,4954,154290,5724
848,37834,8904,359128,9023
704,39142,6586,247456,7127
429,11477,4035,91806,3792
934,48223,9762,435711,10057
850,38041,8910,360825,8869
140,2005,999,9730,1115
876,40807,9950,383250,9898
837,36723,8495,349866,8925
737,43735,8805,271216,7525
642,31163,6429,205761,7322
497,16448,4535,123256,4799
274,6182,2214,37401,2311
397,9704,3921,78606,3619
427,11357,4013,90951,4263
621,28305,6143,192510,6525
268,5885,1980,35778,2227
33,164,166,528,202
709,39825,7318,250986,6805
507,17271,4818,128271,5429
681,36000,6798,231540,6672
357,11725,3157,63546,3224
913,45596,11417,416328,9460
502,16856,4889,125751,4638
321,9119,2854,51360,2695
894,42795,9724,399171,10291
68,579,416,2278,390
904,44495,9721,408156,9565
972,53388,10713,471906,10783
908,44987,10516,411778,9427
639,30296,6175,203841,6109
442,12283,4381,97461,3708
